what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504900126891
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1504900129438
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504900131189
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1504900134083
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504900143400
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504900144107
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504900145227
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504900145956
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1504900146721
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504900154129
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504900197157
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504900209156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504914620404
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504914622382
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915006118
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915009044
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915145470
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915146549
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915698975
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915702885
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915717702
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504915719953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504916374209
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504916376074
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1504978784076
